outputs/szqrujtn	205246.89582677616	336459.051127962
outputs/ogu59052	205246.89582677616	336459.051127962
outputs/q7zz5e_k	198416.30556159312	283169.57807359396
outputs/e05rs805	197366.60672162852	252735.43835719582
outputs/b5bwn4df	248281.04263850275	383960.673923837
outputs/jlx8yp22	248942.53503014872	384222.08507540904
outputs/jedvktci	250288.2183417242	348145.483357471
outputs/u5e0efxn	227625.74457357067	304435.88832171273
outputs/ga7w_twv	226911.46266246785	299315.3429754758
outputs/dqts_kwx	239800.014093738	314198.67942071083
outputs/kqb6mfhw	223161.98609734463	288120.7437305889
outputs/p29zifpc	5.179916769677923	0.3396154634666594
outputs/cls4au9n	175359.9439252337	158313.85393885584
outputs/kzrds061	223895.62673641424	291146.1619111876
outputs/8gxx9gl2	221616.91153004195	304710.6915817456
outputs/e3u1dx15	223237.582531376	288438.9508331176
outputs/0a3btqpx	224076.19063645447	288954.18486331904
outputs/5rpvx179	224394.6591624809	289751.88183168287
outputs/qc60jxe1	224032.46048452865	288257.5643652184
outputs/t5kwyci9	221684.26322102293	290325.26224486344
outputs/xdular1z	212660.3886043408	269661.4123393265
outputs/cob21qi9	210591.87024768192	270388.2381222737
outputs/qzjn7j_p	213479.89228300253	269573.95732179057
outputs/renksnm1	219272.12480722784	255412.6414238867
outputs/334yvenu	216775.2610481305	254489.0511325812
outputs/9o0bsf4_	216775.26104813052	254489.05113258114
outputs/4wwwxmau	216775.2610481305	254489.05113258114
outputs/ycdjviil	212924.96547044817	226215.24478877182
outputs/boecjugs	213175.3567916064	226810.43552427643
outputs/7_to8kia	212329.85277614027	224219.38690475991
outputs/fxuqj9a6	212446.96725787048	224247.71156606145
outputs/_hd_31hd	213025.96303056704	231097.04687360104
outputs/iac3ofdw	212675.34981197125	227126.39034970314
outputs/d0ksngns	216483.09016106083	236437.74248080235
outputs/p1j3rw9e	235487.23619298762	385002.99308881094
outputs/zt99yg84	196366.76943950704	153954.67416570094
outputs/y1lqo49a	321260.06725202414	714617.1303558864
